dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
breast,clean,erm_clean_path,erm,0.25,1,0.015,0.0,,0.6852906884371223,0.0817748655748346,4.200366416672489,0.4427668230262094,0.10944386632848076,0.030385782823745478,0.6565031365244591,0.08317439255046477,4.213641697631852,0.4389866797648032,0.11086848335688626,0.03298758922703498,0.11837677955627438,0.007065247110623335,0.0627597843433024,0.0030031824370620416,600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,1,0.005,0.001,,0.6013281598861072,0.0715377736512739,2.871279616386309,0.1997092229418969,0.17524195795185873,0.028452303431155734,0.5878373628095943,0.11399589838815229,2.8698993593719697,0.39299019343971214,0.17408249105490364,0.02399888253224566,0.15828404426574705,0.00896040404595425,0.14119031126962248,0.013885501741706966,600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,1,0.001,0.003,1.01,0.5095291765831056,0.03308187297921403,1.6306040716863877,0.11755758860903864,0.3100170330549562,0.022630434059601072,0.50339025173085,0.06187375791019267,1.656021954817291,0.27762936063589366,0.310140618831657,0.014407044711210666,0.31723599433898925,0.037662241775790285,0.43638149017129574,0.012184962576937543,600.0,0.0
breast,clean,erm_clean_path,erm,0.25,2,0.015,0.0,,0.7840893356187143,0.09059277001781749,5.093624404084688,0.5103838757269545,0.09387777930215499,0.03452812509004464,0.7574320061017026,0.09321544095674994,5.146522813235791,0.5288789818837962,0.09640221014247397,0.035746556121898074,0.2407551765441894,0.015935112227305415,0.03682201304587142,0.00259278351774591,1200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,2,0.0075,0.001,,0.7493330458749183,0.07658315357229567,4.002175400607378,0.11277224941106859,0.12757837583458803,0.0327424699971529,0.7419335099327646,0.16829707483144368,4.0432139504639295,0.674446144169784,0.13014801452257693,0.032097993735039736,0.21316504478454584,0.013975654521711603,0.0651534725076249,0.007829617259777776,1200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,2,0.0015,0.0,1.5,0.5725292489541316,0.06969617477979036,2.4831775095738435,0.18050626312012838,0.20582008838503169,0.024410299719411825,0.5606929551315497,0.11388605996491913,2.526130170484288,0.4894915656230311,0.2051991962803355,0.022827205930391295,0.4975742816925049,0.024493464076451386,0.21638141248675016,0.015380777829537033,1200.0,0.0
breast,clean,erm_clean_path,erm,0.25,4,0.015,0.0,,0.8514039096985565,0.09810886096860398,5.644083110770984,0.5677166309526152,0.08775964623594475,0.037734742983288744,0.8245487067560507,0.10187696918459499,5.723684464857895,0.5894369352881463,0.0908292148083005,0.0380165855328153,0.3553225040435791,0.021585833306502565,0.02713920705134416,0.002217289817499895,1800.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,4,0.005,0.001,,0.6966237818238252,0.1469407173574829,3.708820157187632,0.45770596425681653,0.13456981315139774,0.032460837301625495,0.6927166179333316,0.19089625400941815,3.7502332812090273,0.8277497138566515,0.13860976938460873,0.034073190570591216,0.3080360889434814,0.019174448891166256,0.10652742751340036,0.026396469516549302,1800.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,4,0.001,0.0,1.5,0.5401074719643846,0.08163615131981222,2.260584919139025,0.31436671353088635,0.22372371144662195,0.022181703252043893,0.5292508463702509,0.11766275113421285,2.2993921418212637,0.5252442935123471,0.2231414624729003,0.023583787572625026,0.8814369678497315,0.025772195387282884,0.3044204390308226,0.06622059107439524,1800.0,0.0
breast,clean,erm_clean_path,erm,0.25,8,0.015,0.0,,0.9014160488486146,0.10711810301657634,6.040645346417848,0.6209593747161442,0.08448495607458692,0.040468024193397074,0.8716024903458882,0.10840228560440382,6.142189614139594,0.6418278289409696,0.08786502136433633,0.04011891629326393,0.4798903465270996,0.023335562925731183,0.02195583078103824,0.0019256693744514274,2400.0,0.0
