comparison,dataset,sampling_policy,model,split_seed,epsilon,N,stage_index,alpha0,lambda_l1,lmaj_factor,Lmaj,eps_tol_k,mu_k,stepsize,inner_steps_per_stage,actual_update_count,train_objective,stationarity_proxy,runtime_sec,x_box,m_groups,group_names,bank_seed,bank_hash,init_w_norm,init_b,failed,source_config_N,warm_start_from_N,checkpoint_path,tr_sampled_robust_loss,tr_sampled_mean_loss,tr_robust_loss,tr_cvar_loss,tr_clean_loss,val_robust_loss,val_cvar_loss,val_clean_loss,te_robust_loss,te_cvar_loss,te_clean_loss
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.15,64,5,0.003,0.01,,,0.05904900000000001,0.007099141622454369,0.0002952450000000001,500,3000,0.47641370602778094,0.1997305122562311,2.010317802429199,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,5ba4281330b28127,0.0,0.0,False,64,16.0,in_memory_N16_state,0.44574844560411897,0.41479695459957083,0.5025596157530626,1.3267094592694548,0.41916791784873897,0.658844888424164,1.8737774477217606,0.517851162393389,0.6610916805637903,1.6384042820686848,0.5266855029805082
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.15,64,5,0.003,0.01,,,0.05904900000000001,0.007099141622454369,0.0002952450000000001,500,3000,0.45733595204092103,0.3982394959236937,2.0092809200286865,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,920aaab13cb8a946,0.0,0.0,False,64,16.0,in_memory_N16_state,0.43217636878897625,0.36919394918599824,0.46958584089366745,1.2034022144037297,0.3719431765576258,0.5108578178166048,1.4596082708242468,0.4326875096227763,0.567054258320013,1.1710216296548162,0.4945700895392176
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.15,64,5,0.003,0.01,,,0.05904900000000001,0.007099141622454369,0.0002952450000000001,500,3000,0.45329487452335476,0.1859321937842735,2.0401229858398438,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,80f913eb7187bf34,0.0,0.0,False,64,16.0,in_memory_N16_state,0.42544490857337836,0.39221262922845296,0.43682596420926584,1.1042217135125818,0.3907154115799906,0.6636252642223641,1.2060794637244734,0.5820985867703209,0.37874512374470387,0.9829462930804024,0.34495672177895936
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.15,256,6,0.003,0.01,,,0.05314410000000001,0.004791920595156698,0.00019929037500000002,500,3500,0.44793254330311977,0.2174865142891805,8.165886163711548,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,6621ad69cb94d7c3,0.0,0.0,False,256,64.0,,0.4222964496039632,0.3833573251741338,0.4349227014979217,1.2055175026220522,0.38027771504404556,0.4824645539857848,1.2473233220070983,0.43339928752519047,0.4188329225525526,1.2204619890160184,0.3841752527673188
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.15,256,6,0.003,0.01,,,0.05314410000000001,0.004791920595156698,0.00019929037500000002,500,3500,0.4890279663125472,0.268361566124073,8.313277006149292,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,9ef36bd23bd434ea,0.0,0.0,False,256,64.0,,0.4613373450810649,0.41735762534060794,0.4823199427012401,1.2459950654680598,0.415826829247246,0.6296176546107524,1.7895049170289241,0.5126456319804855,0.6291880842630735,1.5491588733263324,0.5177699139477353
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.15,256,6,0.003,0.01,,,0.05314410000000001,0.004791920595156698,0.00019929037500000002,500,3500,0.44568580307014893,0.3384220986988414,8.1097731590271,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,69f71b3f62f3c269,0.0,0.0,False,256,64.0,,0.4168577298389946,0.36994743284562903,0.4487354623901305,1.1247983854782369,0.37013665412255536,0.4934433768393355,1.4247811687023426,0.4327974149495258,0.5514724496720946,1.1403234119143217,0.4979188478345232
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.15,256,6,0.003,0.01,,,0.05314410000000001,0.004791920595156698,0.00019929037500000002,500,3500,0.4513224630377675,0.19169758125692057,8.197654962539673,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,c8114edbe85cb97b,0.0,0.0,False,256,64.0,,0.42336063590793604,0.3908648531759272,0.4309557719906858,1.0990307049907213,0.38866817075384946,0.6609727671224295,1.2080347603999835,0.579866318742067,0.37617030516376054,0.9842514289176499,0.34441866454653347
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,1,0,0.003,0.001,,,0.1,0.07213475204444818,0.003,500,500,0.3423860381974365,0.2071884240131947,0.11449503898620605,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,df97b3d9ed329574,0.0,0.0,False,1,,,0.34002845066338855,0.34002845066338855,1.3646042997589194,2.821916386801156,0.48723650937648677,1.4163573003323668,2.417399495411984,0.47341918894988183,1.1821001667988116,3.234231496795716,0.48336814531454314
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.25,1,0,0.003,0.001,,,0.1,0.07213475204444818,0.003,500,500,0.42538834433545725,0.1988008662666599,0.1106879711151123,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,181ab442023a92f5,0.0,0.0,False,1,,,0.42336726583442363,0.42336726583442363,1.3387736143387872,3.2201189084116066,0.5385877925840474,1.5510261427393843,3.328042833420989,0.6204131475236397,1.6530059053654045,3.1181549309172842,0.6801456146633199
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.25,1,0,0.003,0.001,,,0.1,0.07213475204444818,0.003,500,500,0.39781660622992226,0.2370365025068696,0.11115884780883789,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,5a0a324c3e3439e1,0.0,0.0,False,1,,,0.3956370913420464,0.3956370913420464,1.1193283222451156,2.513984200643804,0.4939404432592524,1.101599093504709,2.3887704368016545,0.5101106209208144,1.207805042494559,2.4802371261835097,0.5647383363727106
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.25,1,0,0.003,0.001,,,0.1,0.07213475204444818,0.003,500,500,0.3401970961363566,0.19926612568722593,0.11232781410217285,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,36560452feee29c3,0.0,0.0,False,1,,,0.3377900629104354,0.3377900629104354,1.4256801773807903,3.169812365280151,0.4968841669159449,1.867692457551041,2.9315245069968245,0.7181135923886471,1.009180857974241,2.382211317413755,0.33683065363341336
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,2,1,0.003,0.001,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.3986477987631854,0.18212238335250955,0.1472320556640625,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,118a9f2abf617b99,0.0,0.0,False,2,,,0.3701534390293228,0.3467554494512761,1.193798318541453,2.944420133790786,0.43492235175644917,1.0977856134732789,2.287202833679112,0.39304435047598707,0.9942267937186956,3.2482047990838283,0.4363217515078284
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.25,2,1,0.003,0.001,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.4365386640686249,0.13874385488117894,0.1418921947479248,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,4450364db6faf954,0.0,0.0,False,2,,,0.3906023319276546,0.38891896393415515,1.538904594241485,3.873187316869578,0.5140917849034082,1.8407122074122875,4.190681372339419,0.665003613163872,1.971628941294722,3.8923447006955714,0.7163709144409225
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.25,2,1,0.003,0.001,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.3798285541826958,0.15409604582153902,0.1414811611175537,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,706b07b14b3c7346,0.0,0.0,False,2,,,0.34582157537192043,0.33014179365237706,1.37042697180271,3.2108790118929806,0.4530390088333707,1.3526935061548118,3.075667834699514,0.5055159528171472,1.5083455173641631,3.2109630716098296,0.5500874974481016
