dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
parkinsons,uniform_iid_nested,final_path,majorant,0.25,2,0.012,0.04,1.5,0.8936118065587091,0.42513358632484205,2.295127739294583,0.9200907423936519,0.4465352920399374,0.10000931889165633,0.9626461855901732,0.3193888197665994,2.5017611594740035,1.1052014563032593,0.5125238253151814,0.10170996354616141,0.3310340642929077,0.004233812399193077,0.1255816049863468,0.012028129927170988,1000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,4,0.005,0.0,,0.7575763903846793,0.1495072894375917,2.4943854051576273,0.11808971932985421,0.4202797268456945,0.09186197404147899,0.9467899687225694,0.24211972548835595,2.5900928038605344,0.10974931189988824,0.4699771835621505,0.09623381338307453,0.24859857559204102,0.012963927800731247,0.10440967031112032,0.0046121932376955955,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,4,0.003,0.001,,0.7603207969817419,0.2462726795283608,2.047638269930856,0.4761043173134853,0.4789111873062718,0.11854503332033721,0.8530546601994019,0.12631522822431476,2.062641037390435,0.4333666069681505,0.5400390979775112,0.09905674053017109,0.20671796798706052,0.003391016317190724,0.20112353128647337,0.008215778024792434,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,4,0.012,0.04,1.5,0.5058361334759338,0.11782763872088585,1.5157605120676578,0.2729628893773451,0.40488589666591884,0.070150593357421,0.5857421633091904,0.05380789236121268,1.8179438861773618,0.3603224136810762,0.461459644343771,0.05771244656554346,0.5855045318603516,0.009735701272258196,0.1347584166142067,0.022920393891504475,1500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,8,0.005,0.0,,0.7740194530464389,0.1704526145257346,2.7409518078630146,0.1689353789587313,0.4233111000713076,0.09517145442893236,0.9823339466850202,0.29667069332021334,2.879187911053007,0.1663204608722574,0.47427096302667665,0.10209219811564574,0.33052736520767206,0.01320270819311003,0.08465761681159228,0.0042941228515624786,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,8,0.003,0.001,,0.6984727517288285,0.22043749620364322,1.7185616257453833,0.5040497910251005,0.4651172569949021,0.10675633555341003,0.8000328576016743,0.12826534205199444,1.8985360652897205,0.4987552726783033,0.5264739912475247,0.07839518366689907,0.32889372110366816,0.0062518968130238295,0.25860405103133477,0.0797787092894675,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,8,0.012,0.04,1.5,0.46123317008049375,0.09214330024734162,1.3831029156158385,0.1834455695138701,0.40132201954825353,0.0755822681792803,0.5412676213354275,0.0854538761667066,1.703657685523023,0.32890664775338335,0.44829729173193555,0.0515678859487418,1.0815551280975342,0.015904125856179594,0.1346761502309547,0.027713908650134716,2000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,16,0.005,0.0,,0.7878507085921123,0.1926341142593851,2.9363700846138903,0.22876646682625185,0.4289570864187752,0.09945077087771342,1.0128711656451586,0.34848045804617667,3.1152587428627436,0.22947591099091388,0.4823971980655787,0.10901261941020361,0.4129965901374817,0.01270752335049954,0.0713710897420403,0.004085674842540508,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,16,0.003,0.001,,0.6375113832721271,0.20883471124642666,1.5943002739539036,0.40156647950257535,0.4580672021990406,0.10206069851428733,0.7309253054418634,0.12074671018186593,1.7621781930502232,0.4057769006780759,0.5197191269762119,0.07322215805212746,0.5711102485656738,0.010761298696077648,0.26937949718955734,0.021436305627550854,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,16,0.012,0.04,1.5,0.454238795590923,0.08131995567830938,1.3932480628329877,0.15035611429579204,0.39783705859038276,0.07474292374763747,0.5255687721661118,0.08358124295077196,1.705896297015972,0.2984429693440629,0.4413017621776244,0.048940602677802876,2.0694580078125,0.03284407086644803,0.11353355192183903,0.02394510342223525,2500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,64,0.005,0.0,,0.7998641114334875,0.2150185324841576,3.091423596655341,0.28854869996264026,0.435603139108642,0.10399710275956275,1.0395085269951858,0.3976257797463152,3.3058732934055666,0.2969549764383861,0.4919592900661028,0.11626874410448969,0.4955857992172241,0.012299050078226327,0.06182596265159315,0.0039097509156717745,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,64,0.003,0.001,,0.6030566088653003,0.1896799465177066,1.5756660667142368,0.39421140692152723,0.457416444201811,0.09948251575391323,0.713298339073476,0.1412550531609703,1.726530201875589,0.4179242990854945,0.5164412744838821,0.07014767195693676,2.0386404395103455,0.05660787554453693,0.34407601853834135,0.09557869889007031,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,64,0.012,0.04,1.5,0.45895932813753026,0.09184597381650883,1.4140388310765963,0.16670716073729902,0.3960646559379328,0.07945249691771454,0.5295596085042397,0.08278045402775078,1.7209746832766153,0.30136554480748196,0.43769323728131876,0.049639707303424124,8.290812015533447,0.0580081573295073,0.1125322156804098,0.032267061670859805,3000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.25,256,0.005,0.0,,0.8139141603830033,0.2337991902267437,3.220056924421689,0.3450017498154739,0.4425647917662584,0.10851903889926945,1.0637551806589545,0.4431532231349159,3.4657560272131547,0.36143276166509947,0.5019050202848638,0.12351702715163164,0.5778265595436096,0.012011923729786338,0.05463967810370213,0.0037458376547966584,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.25,256,0.003,0.001,,0.5726768732284545,0.1625523413233894,1.4769311684289734,0.3117785624090474,0.4527764110019159,0.09426763684695741,0.6739529802009794,0.12578313242930078,1.6281761033743782,0.3412270730200288,0.511390154816076,0.07060131797726053,8.26343423128128,0.11881732905771807,0.35915095122805407,0.05479613292497146,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.25,256,0.012,0.04,1.5,0.4405726545336785,0.08451373807610019,1.3673092239990943,0.19349057608068027,0.39142129628531425,0.08008506900593236,0.5117811487769506,0.0715138386823653,1.6673919561659594,0.25913555411225064,0.43252932728189586,0.05148991677707805,34.557630479335785,0.2848542901575805,0.09860252766188637,0.034347574835770646,3500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,1,0.005,0.0,,0.9160666616295141,0.12576962051115825,2.085052227843908,0.25266816248735896,0.4491843214488317,0.0967541767039801,1.0840404224072961,0.1495663613062513,2.152171549033306,0.11215224599907694,0.5074175913617516,0.09431811077987381,0.08298432826995848,0.011452203049181937,0.19901033940883417,0.0075029440828126275,500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,1,0.003,0.01,,1.5921307018019264,0.2743100975612317,3.2308488640508095,0.38581499791797186,0.5281127239127733,0.1456310864937724,1.8491608917318882,0.28966648931723255,3.2370122628610245,0.45700072510264955,0.6046946906693607,0.11961244225402852,0.11213922500610347,0.0022730591345772604,0.18796593914060442,0.014024492165865269,500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,1,0.018,0.04,1.01,1.719561852099229,0.33255628510891216,3.7109213891614976,0.4355252523359993,0.512280204891496,0.10900661286942977,2.0439311066579773,0.3382169981616096,3.8944477323223214,0.7999828963558925,0.6567575243109198,0.178818681250901,0.20743674039840698,0.003213528768918104,0.12270256075121412,0.01819671257422809,500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,2,0.005,0.0,,0.9882851194472806,0.12300132659752996,2.6729093332925067,0.16986838688563322,0.4241769632096403,0.09127559926245438,1.205912456442186,0.23675719457354102,2.7338229919632004,0.11822173367567074,0.4754689265373762,0.09297652671089078,0.16617500782012934,0.01231090947192957,0.13680327553186075,0.005308310362755938,1000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,2,0.003,0.01,,1.5716509092515247,0.7304229253753904,3.332701219745256,1.3440739222502645,0.5359016682640356,0.15980137117082477,1.6444387825638267,0.4917953644403156,3.2199855848045997,1.3600080051320311,0.5833807692734599,0.14519979643566341,0.14812821149826047,0.011501303898973773,0.15094023990689723,0.0305645272665272,1000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,2,0.018,0.04,1.01,1.1433342794425558,0.5886888852110299,2.860359061418876,1.231095632443689,0.4600037455590946,0.11398368945944194,1.2334233647298374,0.4790633427630292,3.0917140747667555,1.5467417961609982,0.53143493638108,0.12112098260595178,0.33207327127456665,0.0048294259174069135,0.1280286993462552,0.033228487651870905,1000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,4,0.005,0.0,,1.046422574117131,0.15886318670584898,3.091009629999302,0.22209075706427012,0.4202797268456945,0.09186197404147899,1.2985685131290847,0.3327363045030216,3.1931110482825833,0.22446205636946964,0.4699771835621505,0.09623381338307453,0.24859857559204102,0.012963927800731247,0.10440967031112032,0.0046121932376955955,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,4,0.003,0.01,,0.9371328559049923,0.3131913677472281,2.4249635420396247,0.588159395279871,0.4933647986858455,0.12425443955846971,1.0569402941801709,0.11852065352679393,2.374133640491911,0.49833297775090174,0.5561008549740335,0.10099274731961926,0.20606791973114008,0.0038873417219723702,0.20359750758962272,0.015469335518024227,1500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,4,0.018,0.04,1.01,0.5659740875610115,0.1596162224945655,1.8064517960610884,0.3057911036400025,0.4012253370948463,0.08097670578212957,0.6577042879391178,0.07331686371643312,2.110897473392932,0.43366085272311566,0.45621804629038043,0.05205806974732378,0.584945559501648,0.014041023800961646,0.12694786192962956,0.018144475833191974,1500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,8,0.005,0.0,,1.0912292687081788,0.20682069323806954,3.402515090877308,0.30926919819186316,0.4233111000713076,0.09517145442893236,1.3695132896112494,0.42272585677073454,3.5622603379925044,0.3102580601365511,0.47427096302667665,0.10209219811564574,0.33052736520767206,0.01320270819311003,0.08465761681159228,0.0042941228515624786,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,8,0.003,0.01,,0.8397749033630052,0.261306278749275,1.9029490985518411,0.6421094448244327,0.48059941458950806,0.1070856207235974,0.9377269308435853,0.1465917162658697,2.0899895017059595,0.6342161197619277,0.5429847065341304,0.07177761442792922,0.32771193981170654,0.005258464097833933,0.3058478028780621,0.11881546456795446,2000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,8,0.018,0.04,1.01,0.48575268949835065,0.09683083210853317,1.549732658003996,0.13161936477449052,0.39729183529609613,0.0881528976531109,0.5676472418168095,0.12074405393046261,1.8647538385112479,0.3925750899199827,0.4399411775145685,0.046485722369473965,1.0862870812416077,0.019552101224397968,0.12504867884037194,0.012174185886815016,2000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,16,0.005,0.0,,1.1250623495509098,0.2581479527456877,3.6370561923192297,0.4025093814427245,0.4289570864187752,0.09945077087771342,1.4255082255418363,0.5078245382884089,3.8518997703694096,0.3942228435302857,0.4823971980655787,0.10901261941020361,0.4129965901374817,0.01270752335049954,0.0713710897420403,0.004085674842540508,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,16,0.003,0.01,,0.6986556035107984,0.23575826827732788,1.6871284332095546,0.4532727785105543,0.4727967381511431,0.1004917569645345,0.8149377447149357,0.1166129704351386,1.8506909539721201,0.4467689966275643,0.5341924950646529,0.06603260775276437,0.5820315480232239,0.020746540261964413,0.33606106068684455,0.009758241208097842,2500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,16,0.018,0.04,1.01,0.4803014807590875,0.09316225668327634,1.5455305217999045,0.09695647955665371,0.39211554169210744,0.08526195365290579,0.5560251893355568,0.10944832094323377,1.8629381281300743,0.3615437636234146,0.43261580076368594,0.046649005956811436,2.0870325565338135,0.07238580511787597,0.10006754169947679,0.028985281565541497,2500.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,64,0.005,0.0,,1.1516778902022282,0.3098191952902575,3.8193442172819805,0.4943793181777995,0.435603139108642,0.10399710275956275,1.4712962098744917,0.5887227555139307,4.082521495903249,0.4830830807803452,0.4919592900661028,0.11626874410448969,0.4955857992172241,0.012299050078226327,0.06182596265159315,0.0039097509156717745,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,64,0.003,0.01,,0.6477530412417793,0.21366867266735254,1.6549763615714943,0.4094791784892349,0.47136480404434644,0.09816854056162336,0.7682207994796555,0.14506960177442602,1.770650234286247,0.4815671035222273,0.5289657723529086,0.06481945127590023,2.0435569286346436,0.054381515757152624,0.3606883974987457,0.04030291899827566,3000.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,64,0.018,0.04,1.01,0.4795424760441585,0.10044993622177335,1.5875563267680644,0.09982443980660453,0.38733864737934265,0.0871707486567346,0.5618243528609459,0.11717340018721636,1.8832341094991039,0.37972294164735354,0.43027498065775055,0.049626835883265594,8.254456758499146,0.18932096552182454,0.08925088730288941,0.04261549236010933,3000.0,0.0
parkinsons,clean,erm_clean_path,erm,0.35,256,0.005,0.0,,1.1747030497957176,0.3583271326364717,3.969494495231058,0.5790407602029922,0.4425647917662584,0.10851903889926945,1.5109887612113806,0.6632186400045242,4.2745045968964615,0.5679987148182841,0.5019050202848638,0.12351702715163164,0.5778265595436096,0.012011923729786338,0.05463967810370213,0.0037458376547966584,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,direct,0.35,256,0.003,0.01,,0.5922877291327633,0.1647166817512713,1.4883556953038606,0.2893856776064231,0.4654799174675561,0.09152503848849941,0.694304627799838,0.12115758147328248,1.5955563048984662,0.368690523775965,0.5220073138112341,0.06636502261316467,8.188901662826538,0.10448679880932801,0.4278324257853682,0.09050561549039765,3500.0,0.0
parkinsons,uniform_iid_nested,final_path,majorant,0.35,256,0.024,0.15,0.75,0.44742956585649596,0.0667718038731214,1.3384261072698325,0.20491697558516045,0.3979818810271496,0.08095861730793015,0.47471171588056993,0.0578680349795561,1.569206769636821,0.2225679545746018,0.41292675357917497,0.04650972652418562,35.39262402057648,2.289650118029295,0.5934342215104744,0.09476375939485318,3500.0,0.0
